,,,,,,,,,
#,Category,Capability, User Story,Required?,Priority,Status,Frontend,Backend,Client comments
,Patient Charting (Common for ADH and ALF),Search/Filter Documents,"As a Provider, I should be able to search and filter Documents of the resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Add Minor Incidents,"As a Provider, I should be able to add minor incident with its details",,,New,,,
,Patient Charting (Common for ADH and ALF),Edit Minor Incidents,"As a Provider, I should be able to edit minor incident with its details",,,New,,,
,Patient Charting (Common for ADH and ALF),View list of Minor Incidents,"As a Provider, I should be able to view list of minor incidents for a resident.",,,New,,,
,Patient Charting (Common for ADH and ALF),Add Major Incidents,"As a Provider, I should be able to add major incident details",,,New,,,
,Patient Charting (Common for ADH and ALF),Edit Major Incidents,"As a Provider, I should be able to edit major incident details",,,New,,,
,Patient Charting (Common for ADH and ALF),View list of Major Incidents,"As a Provider, I should be able to view list of major incidents for a resident",,,New,,,
,,,,,,,,,
,Patient charting - ADH,View and Add Face Sheet,"As a Provider, I should be able to view  and add Face Sheet section records in respective card for resident.
- Care Plans
- Allergies
- Medication
- Vitals
- Progress Notes
- Events
- Activities",,,New,,,
,Patient charting - ADH,Add Care Plan,"As a Provider , I should be able to add Care Plan of the resident.",,,New,,,
,Patient charting - ADH,Edit Care Plan,"As a Provider , I should be able to edit Care Plan of the resident.",,,New,,,
,Patient charting - ADH,View list of Care Plan,"As a Provider , I should be able to view list of Care Plan for the resident ",,,New,,,
,Patient charting - ADH,Search/Filter Care Plan,"As a Provider, I should be able search and filter care plan of the resident.",,,New,,,
,Patient charting - ADH,Add Events,"As a Provider , I should be able to add Events of the resident.",,,New,No Figma,,
,Patient charting - ADH,Edit Events,"As a Provider , I should be able to edit Events of the resident.",,,New,,,
,Patient charting - ADH,View list of Events,"As a Provider , I should be able to view list of Events for the resident.",,,New,,,
,Patient charting - ADH,Search/Filter Events,"As a Provider, I should be able to search and filter Events of the residents.",,,New,,,
,Patient charting - ADH,Add Pain Scale,"As a Provider, I should be able to add  pain scale for the residents.",,,New,No Figma,,
,Patient charting - ADH,Edit Pain Scale,"As a Provider, I should be able to edit pain scale for the residents.",,,New,No Figma,,
,Patient charting - ADH,view list of Pain Scale,"As a Provider, I should be able to view list of pain scale for the residents",,,New,No Figma,,
,Patient charting - ADH,Search/Filter Pain Scale,"As a Provider, I should be able to search and filter pain scale of the residents.",,,New,,,
,,,,,,,,,
,Patient charting - ALF,View and Add Face Sheet,"As a Provider, I should be able to view the Face Sheet section details in the respective cards for a resident.
-Tickets
-Allergies
-Medication
-Vitals
-Progress Notes
-Incidents
-Activities",,,New,,,
,Patient charting - ALF,Add Services,"As a Provider, I should be able to add services of the resident",,,New,,,
,Patient charting - ALF,Edit Services,"As a Provider, I should be able to edit services of the resident",,,New,,,
,Patient charting - ALF,View list of Services,"As a Provider, I should be able to view list of services for the resident.",,,New,,,
,Patient charting - ALF,Search/Filter Services,"As a Provider, I should be able to search and filter services of the resident.",,,New,,,
